,Price,Mileage,Age,Model_Camry,Model_Civic,Model_Corolla
554,24590,38264,4,0,1,0
555,9420,139100,10,0,0,0
556,24990,39950,3,1,0,0
557,19990,25576,6,0,0,1
558,24590,26504,5,0,1,0
559,24994,63976,4,1,0,0
560,19499,59847,5,0,1,0
561,17195,107717,10,0,0,0
562,23985,55212,3,1,0,0
563,20995,32401,5,0,0,1
564,19590,23900,9,0,0,1
565,23466,41599,3,1,0,0
566,28900,3733,1,1,0,0
567,29900,4098,1,1,0,0
568,37590,1314,0,1,0,0
569,19995,44356,2,0,0,1
570,23773,65311,3,1,0,0
571,27999,30809,3,0,0,0
572,17055,123322,6,1,0,0
573,16999,72860,9,1,0,0
574,27955,34765,4,0,0,0
575,27499,15526,2,0,0,0
576,29990,2941,0,0,0,1
577,9999,131567,14,1,0,0
578,19999,58855,6,0,0,0
579,16990,45877,10,0,1,0
580,28987,22514,3,0,0,0
581,30499,20412,1,1,0,0
582,22885,24176,3,0,0,1
583,30599,1190,0,1,0,0
584,24990,40849,4,0,1,0
585,5300,199000,15,0,0,0
586,24310,55422,4,1,0,0
587,25613,2160,3,1,0,0
588,31499,10871,1,0,0,0
589,26998,9302,2,0,0,1
590,16849,83812,8,0,0,1
591,26899,18932,0,0,0,1
592,19999,67112,5,0,0,0
593,22499,26805,3,0,1,0
594,17590,48145,11,0,0,0
595,12999,132940,8,1,0,0
596,24990,7424,2,0,0,1
597,28750,12479,1,1,0,0
598,19999,43051,6,1,0,0
599,16990,76905,11,0,0,0
600,14990,95039,12,1,0,0
601,26499,11633,2,1,0,0
602,21990,23494,8,1,0,0
603,19391,85358,5,1,0,0
604,22590,42814,6,0,1,0
605,20590,32700,10,1,0,0
606,26305,21380,2,0,1,0
607,21999,44118,5,0,1,0
608,13999,49550,11,0,0,0
609,22655,46155,3,0,0,1
610,12995,128316,8,0,0,0
611,18999,42857,4,0,0,1
612,18999,54737,5,0,0,1
613,19590,44120,7,1,0,0
614,29786,19995,3,0,0,0
615,21996,65725,4,0,1,0
616,16195,74772,10,0,1,0
617,19990,27689,7,0,0,1
618,30007,6930,1,1,0,0
619,19597,57065,6,1,0,0
620,19499,56465,4,0,0,1
621,28302,5070,3,0,0,0
622,36990,7843,2,1,0,0
623,17933,63562,6,0,0,1
624,14999,117520,8,0,0,1
625,17990,39373,10,0,0,0
626,29236,33246,3,0,0,0
627,19590,36723,7,0,1,0
628,20990,19995,8,1,0,0
629,33996,13764,1,0,0,0
630,16999,91790,7,0,0,0
631,16990,73051,9,0,0,0
632,15995,131414,6,1,0,0
633,27595,25690,2,1,0,0
634,18990,51042,7,0,1,0
635,24999,15118,3,0,1,0
636,22700,3292,0,0,1,0
637,20990,39440,8,0,0,0
638,19999,35067,4,0,1,0
639,14999,81654,8,0,0,1
640,7900,134536,15,0,1,0
641,11999,50191,15,1,0,0
642,20400,34868,3,0,1,0
643,19999,49850,4,0,0,1
644,20955,69817,6,0,1,0
645,38995,3845,1,1,0,0
646,29872,9452,1,0,0,0
647,18500,65680,6,1,0,0
648,19995,64474,7,0,0,0
649,17499,91938,8,0,0,0
650,11495,101737,13,0,0,0
651,25599,52038,3,0,1,0
652,18999,59718,6,0,0,0
653,13698,104049,7,0,1,0
654,13975,77488,14,1,0,0
655,16499,72250,7,0,1,0
656,22590,22136,5,0,0,1
657,27770,30476,2,1,0,0
658,19590,43363,8,0,0,0
